name,mass,mzoffset_1,mzoffset_2,mzoffset_3,mzoffset_4,mzoffset_5,mzoffset_6,mzoffset_7,mzoffset_8,mzoffset_9,mzoffset_10,mzoffset_11,mzoffset_12,mzoffset_13,mzoffset_14,mzoffset_15,mzoffset_16,mzoffset_17,mzoffset_18,mzoffset_19,mzoffset_20,mzoffset_21,elution_1,elution_2,elution_3,elution_4,elution_5,elution_6,elution_7,elution_8,elution_9,elution_10,elution_11,elution_12,elution_13,elution_14,elution_15,elution_16,elution_17,elution_18,elution_19,elution_20,elution_21,ioncount_1,ioncount_2,ioncount_3,ioncount_4,ioncount_5,ioncount_6,ioncount_7,ioncount_8,ioncount_9,ioncount_10,ioncount_11,ioncount_12,ioncount_13,ioncount_14,ioncount_15,ioncount_16,ioncount_17,ioncount_18,ioncount_19,ioncount_20,ioncount_21,files_1,files_2,files_3,files_4,files_5,files_6,files_7
405F11,371.1269914276,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,,,,,V256A-B1,,V5120
405G02,329.2103271265,0,0,0,0,-0.000244627700226374,0.000633986214154447,0.000336297295575605,0,0,0,0,0.000396315194507224,0.00113002102290238,0.000757684567759043,0,0,0,0,NaN,NaN,-0.00504826948611026,0,0,0,0,22.9036666666667,22.9025,22.8455,0,0,0,0,22.9036666666667,22.9025,22.8455,0,0,0,0,NaN,NaN,22.8953333333333,0,0,0,0,67994.609375,123193.765625,89433.703125,0,0,0,0,27575.802734375,47192.60546875,11659.6474609375,0,0,0,0,NaN,NaN,7687.15576171875,,,,,V256A-H1,V256B-A3,V5120
405G03,333.1688562423,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,,,,,V256A-E1,,V5120
405G04,333.1244046118,0,0,0,0,-0.000624465356338533,0.000756970526765599,-0.000127891079841902,0,0,0,0,-0.00103234628329574,0.00117806636768591,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,22.1713333333333,22.2215,22.1461666666667,0,0,0,0,22.1713333333333,22.2131666666667,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,8092.603515625,17800.0073242188,36367.78125,0,0,0,0,2980.025390625,6745.4404296875,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-B1,"V256B-D1,V256B-H1",V5120
405G05,279.0774544192,0,0,0,0,0.000747819463811084,-0.000232983997648262,0.000570413960019778,0,0,0,0,NaN,-0.00128860280517529,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,17.0463333333333,17.0246666666667,16.902,0,0,0,0,NaN,17.0413333333333,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,15712.033203125,4569.87646484375,23007.072265625,0,0,0,0,NaN,3256.82250976562,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-B3,V256B-H2,V5120
405G06,315.158291556,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,,,,,V256A-G2,,V5120
405G07,404.092503309728,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-D2,V256B-A2,V5120
405G08,272.0731817181,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-C3,V256B-B2,V5120
405G09,261.1014453791,0,0,0,0,0.000179753093846102,0.000479390052419149,-0.000222297059792709,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,9.68836666666667,9.56874166666667,9.51026666666667,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,34235.5546875,17213.2182617188,21499.9453125,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-F2,"V256B-D1,V256B-B3",V5120
405G10,403.1895916844,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-E1,V256B-C2,V5120
405G11,385.1426414918,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-C2,V256B-A2,V5120
405H02,315.1946770623,0,0,0,0,-0.00194439953435221,-0.000294881814340897,-0.000203627600171785,0,0,0,0,0.00247656052772527,0.000500694513448252,-0.00274206973142554,0,0,0,0,NaN,NaN,NaN,0,0,0,0,21.3096666666667,21.2581666666667,21.164,0,0,0,0,21.293,21.2748333333333,21.164,0,0,0,0,NaN,NaN,NaN,0,0,0,0,4727.171875,13537.791015625,59243.3046875,0,0,0,0,2788.12719726562,7159.1748046875,6857.31396484375,0,0,0,0,NaN,NaN,NaN,,,,,V256A-E2,V256B-B3,V5120
405H03,354.132805087,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,0,0,0,0,NaN,0,NaN,,,,,V256A-A3,,V5120
405H04,334.1196535849,0,0,0,0,-0.000242313835713048,-0.00107999982344609,-0.000100957906454369,0,0,0,0,0.00136973328307022,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,9.5219,9.41758333333333,9.39373333333333,0,0,0,0,9.50525,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,34085.2734375,18528.810546875,23784.689453125,0,0,0,0,4455.375,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-F2,V256B-D3,V5120
405H05,309.0880191055,0,0,0,0,-0.000134901075000471,-0.000594912251187907,0.00144755635591309,0,0,0,0,-0.00054462974838998,-0.000484637780402863,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,15.9216166666667,15.9299083333333,15.8365666666667,0,0,0,0,15.9216166666667,15.9093,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,27158.326171875,4011.06298828125,16909.052734375,0,0,0,0,18646.146484375,3398.51611328125,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-F1,"V256B-B1,V256B-H2",V5120
405H06,245.1164267413,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,,,,,V256A-D2,V256B-E2,V5120
