422.126498188, CDIV0003-B02
159.060803664, CDIV0003-B03
338.23179081999996, CDIV0003-B04
389.12412978799995, CDIV0003-B05
261.979964096, CDIV0003-B06
335.13438529200005, CDIV0003-B07
296.1596885, CDIV0003-B08
246.0640568, CDIV0003-B09
399.851672632, CDIV0003-B10
420.16045572, CDIV0003-B11
270.115698448, CDIV0003-C02
354.140198944, CDIV0003-C03
342.9513908999999, CDIV0003-C04
423.147058152, CDIV0003-C05
237.993594292, CDIV0003-C06
289.15680044818004, CDIV0003-C07
474.079033936, CDIV0003-C08
321.99530431200003, CDIV0003-C09
360.111006992, CDIV0003-C10
402.85133828400006, CDIV0003-C11
168.115029752, CDIV0003-D02
350.02960293999996, CDIV0003-D03
430.229013948, CDIV0003-D04
311.072847656, CDIV0003-D05
274.99457604, CDIV0003-D06
373.134779216, CDIV0003-D07
416.105833304, CDIV0003-D08
304.105921612, CDIV0003-D09
295.066699656, CDIV0003-D10
203.040484908, CDIV0003-D11
279.162314292, CDIV0003-E02
492.17526412399997, CDIV0003-E03
270.089208928, CDIV0003-E04
225.1153641, CDIV0003-E05
305.16483971209004, CDIV0003-E06
256.073558864, CDIV0003-E07
334.120509056, CDIV0003-E08
340.038147668, CDIV0003-E09
285.057197592, CDIV0003-E10
200.029585876, CDIV0003-E11
235.19361442, CDIV0003-F02
388.0122386239999, CDIV0003-F03
181.090292224, CDIV0003-F04
375.17031901609, CDIV0003-F05
445.0829336719999, CDIV0003-F06
265.131408088, CDIV0003-F07
350.08374668799996, CDIV0003-F08
370.03168982000005, CDIV0003-F09
338.963602824, CDIV0003-F10
275.08024154400005, CDIV0003-F11
243.084848256, CDIV0003-G02
236.116092372, CDIV0003-G03
224.007804876, CDIV0003-G04
454.04785682399995, CDIV0003-G05
238.099379688, CDIV0003-G06
400.166807616, CDIV0003-G07
361.96122731200006, CDIV0003-G08
315.03608528800004, CDIV0003-G09
295.18048977609004, CDIV0003-G10
356.1194635, CDIV0003-G11
263.18852904, CDIV0003-H02
308.116092372, CDIV0003-H03
397.00047258808996, CDIV0003-H04
309.15975433209, CDIV0003-H05
310.179361324, CDIV0003-H06
413.199093724, CDIV0003-H07
357.99456860399994, CDIV0003-H08
446.12665705599994, CDIV0003-H09
338.08791192009, CDIV0003-H10
222.089208928, CDIV0003-H11
331.097521116, CDIV0004-A02
418.87202792399995, CDIV0004-A03
230.07316494, CDIV0004-A04
426.055542916, CDIV0004-A05
290.090271548, CDIV0004-A06
281.031566796, CDIV0004-A07
435.158291532, CDIV0004-A08
229.146664228, CDIV0004-A09
386.13789043599996, CDIV0004-A10
380.173607248, CDIV0004-A11
154.07422756, CDIV0004-B02
254.11069332, CDIV0004-B03
315.066220988, CDIV0004-B04
210.089208928, CDIV0004-B05
177.065059844, CDIV0004-B06
188.14337599609, CDIV0004-B07
218.08037556, CDIV0004-B08
440.100619876, CDIV0004-B09
337.240564612, CDIV0004-B10
272.00069953999997, CDIV0004-B11
317.03896068399996, CDIV0004-C02
257.081694622, CDIV0004-C03
338.126657056, CDIV0004-C04
239.985718172, CDIV0004-C05
222.09391744799998, CDIV0004-C06
198.082684068, CDIV0004-C07
188.06981087600002, CDIV0004-C08
317.004405016, CDIV0004-C09
339.18344366, CDIV0004-C10
431.209658408, CDIV0004-C11
338.01597274399995, CDIV0004-D02
268.073558864, CDIV0004-D03
376.14230712, CDIV0004-D04
256.084792244, CDIV0004-D05
237.07891716809, CDIV0004-D06
279.05652889600003, CDIV0004-D07
316.8687026, CDIV0004-D08
358.030954112, CDIV0004-D09
352.14230712, CDIV0004-D10
316.178692628, CDIV0004-D11
346.20451345199996, CDIV0004-E02
209.177964356, CDIV0004-E03
380.173607248, CDIV0004-E04
249.016826184, CDIV0004-E05
183.046632908, CDIV0004-E06
325.08849772, CDIV0004-E07
189.078978592, CDIV0004-E08
296.041962128, CDIV0004-E09
496.98373235199995, CDIV0004-E10
376.182063756, CDIV0004-E11
455.11847752, CDIV0004-F02
244.084792244, CDIV0004-F03
374.199428072, CDIV0004-F04
156.046967256, CDIV0004-F05
347.09914265599997, CDIV0004-F06
207.046632908, CDIV0004-F07
193.029441556, CDIV0004-F08
327.137162164, CDIV0004-F09
353.199093724, CDIV0004-F10
366.157957184, CDIV0004-F11
392.049859716, CDIV0004-G02
270.09471155209, CDIV0004-G03
311.084369588, CDIV0004-G04
420.02797690799997, CDIV0004-G05
311.152143532, CDIV0004-G06
252.1473925, CDIV0004-G07
322.12050905599995, CDIV0004-G08
425.06998604, CDIV0004-G09
372.204907376, CDIV0004-G10
381.230393852, CDIV0004-G11
285.033875304, CDIV0004-H02
264.126263132, CDIV0004-H03
343.158371784, CDIV0004-H04
326.097665436, CDIV0004-H05
359.02620308, CDIV0004-H06
345.11134134, CDIV0004-H07
287.076927904, CDIV0004-H08
410.07588443599997, CDIV0004-H09
332.173607248, CDIV0004-H10
348.16852186799997, CDIV0004-H11
396.100747924, CDIV0005-A02
221.024356176, CDIV0005-A03
398.14778642399995, CDIV0005-A04
324.01095437600003, CDIV0005-A05
329.162708216, CDIV0005-A06
419.07322028399994, CDIV0005-A07
356.069447796, CDIV0005-A08
400.14567824799997, CDIV0005-A09
459.20457302799997, CDIV0005-A10
411.20457302799997, CDIV0005-A11
328.178692628, CDIV0005-B02
382.152871804, CDIV0005-B03
322.09872805599997, CDIV0005-B04
394.189257312, CDIV0005-B05
355.17835828, CDIV0005-B06
412.16343648799995, CDIV0005-B07
369.194008344, CDIV0005-B08
262.095356928, CDIV0005-B09
357.157622836, CDIV0005-B10
399.20457302799997, CDIV0005-B11
369.194008344, CDIV0005-C02
390.05379773199996, CDIV0005-C03
420.064362416, CDIV0005-C04
262.077598688, CDIV0005-C05
335.092435736, CDIV0005-C06
442.189257312, CDIV0005-C07
304.14230712, CDIV0005-C08
377.162708216, CDIV0005-C09
342.194342692, CDIV0005-C10
379.13952816, CDIV0005-C11
407.10549895599996, CDIV0005-D02
424.105762744, CDIV0005-D03
385.18892296399997, CDIV0005-D04
396.068469252, CDIV0005-D05
382.152871804, CDIV0005-D06
386.08001248, CDIV0005-D07
461.22022309199997, CDIV0005-D08
420.10485476, CDIV0005-D09
441.215137712, CDIV0005-D10
397.225308472, CDIV0005-D11
408.074462616, CDIV0005-E02
332.173607248, CDIV0005-E03
336.1473925, CDIV0005-E04
363.12373586399997, CDIV0005-E05
327.147058152, CDIV0005-E06
407.10549895599996, CDIV0005-E07
403.17835828, CDIV0005-E08
260.116092372, CDIV0005-E09
383.209658408, CDIV0005-E10
395.209658408, CDIV0005-E11
336.1473925, CDIV0005-F02
251.115758024, CDIV0005-F03
366.157957184, CDIV0005-F04
