srcplate384	srcwell384	srcplate96	srcwell96	mass	destplate1	destwell1	destplate2	destwell2	destplate3	destwell3	destplate4	destwell4	destplate5	destwell5	destplate6	destwell6	destplate7	destwell7	destplate8	destwell8	destplate9	destwell9	destplate10	destwell10
CDIQ0005	A05	CDIV0005	A03	221.0244	V64A	A02	V64A	A08	V64A	F13	V64A	K15	V64A	N24	V64B	F05	V64B	D12	V64B	C13	V64B	K18	RA	1
CDIQ0005	C05	CDIV0005	B03	382.1529	V64A	E04	V64A	J06	V64A	O11	V64A	J20	V64A	E21	V64B	O01	V64B	E11	V64B	L11	V64B	D18	RC	1
CDIQ0005	E05	CDIV0005	C03	390.0538	V64A	C01	V64A	O07	V64A	I14	V64A	L19	V64A	J21	V64B	F06	V64B	E09	V64B	P16	V64B	B19	RE	1
CDIQ0005	G05	CDIV0005	D03	424.1058	V64A	E06	V64A	F09	V64A	C14	V64A	J18	V64A	F24	V64B	A04	V64B	H12	V64B	J11	V64B	A20	RG	1
CDIQ0005	I05	CDIV0005	E03	332.1736	V64A	F03	V64A	B08	V64A	H15	V64A	G17	V64B	A02	V64B	I04	V64B	G11	V64B	O16	V64B	F22	RI	1
CDIQ0005	K05	CDIV0005	F03	251.1158	V64A	B02	V64A	E08	V64A	F12	V64A	L16	V64A	G22	V64B	N01	V64B	B11	V64B	E16	V64B	F20	RK	1
CDIQ0005	M05	CDIV0005	G03	306.1038	V64A	O01	V64A	P10	V64A	B11	V64A	G17	V64A	G24	V64B	I06	V64B	M07	V64B	K12	V64B	A19	RM	1
CDIQ0005	O05	CDIV0005	H03	269.0010	V64A	H02	V64A	N05	V64A	N13	V64A	E18	V64A	O23	V64B	L04	V64B	C08	V64B	O11	V64B	C19	RO	1
CDIQ0005	B05	CDIV0007	A03	289.1249	V64A	H06	V64A	J07	V64A	C13	V64A	M18	V64A	N24	V64B	E05	V64B	M10	V64B	K16	V64B	K20	RB	1
CDIQ0005	D05	CDIV0007	B03	311.1092	V64A	B04	V64A	O05	V64A	C12	V64A	L17	V64A	L23	V64B	F03	V64B	D07	V64B	H13	V64B	A22	RD	1
CDIQ0005	F05	CDIV0007	C03	215.0728	V64A	I02	V64A	P07	V64A	A12	V64A	K20	V64A	K23	V64B	G03	V64B	K08	V64B	F13	V64B	D22	RF	1
CDIQ0005	H05	CDIV0007	D03	333.0436	V64A	A04	V64A	G08	V64A	H11	V64A	N17	V64A	A24	V64B	D05	V64B	K09	V64B	A16	V64B	G18	RH	1
CDIQ0005	J05	CDIV0007	E03	286.9752	V64A	O01	V64A	K05	V64A	B16	V64A	H17	V64A	P23	V64B	L06	V64B	C09	V64B	F15	V64B	P19	RJ	1
CDIQ0005	L05	CDIV0007	F03	253.0506	V64A	I02	V64A	L08	V64A	M14	V64A	H18	V64A	B23	V64B	C03	V64B	M09	V64B	H14	V64B	E21	RL	1
CDIQ0005	N05	CDIV0007	G03	317.1183	V64A	J02	V64A	A10	V64A	F12	V64A	A20	V64A	I23	V64B	O03	V64B	A10	V64B	K14	V64B	P20	RN	1
CDIQ0005	P05	CDIV0007	H03	271.0764	V64A	J01	V64A	N06	V64A	E13	V64A	P19	V64A	B24	V64B	J04	V64B	J10	V64B	E15	V64B	E22	RP	1
CDIQ0005	A06	CDIV0006	A03	397.2253	V64A	L02	V64A	M09	V64A	G12	V64A	C18	V64A	M21	V64B	A03	V64B	O10	V64B	K11	V64B	A21	RA	1
CDIQ0005	C06	CDIV0006	B03	347.1521	V64A	F01	V64A	H08	V64A	C13	V64A	D20	V64A	O21	V64B	J01	V64B	A12	V64B	P11	V64B	L20	RC	1
CDIQ0005	E06	CDIV0006	C03	417.1940	V64A	L04	V64A	K10	V64A	O11	V64A	K17	V64A	K22	V64B	L06	V64B	G09	V64B	D16	V64B	G19	RE	1
CDIQ0005	G06	CDIV0006	D03	451.1317	V64A	G03	V64A	M08	V64A	H12	V64A	L16	V64A	D22	V64B	J05	V64B	G11	V64B	N16	V64B	M17	RG	1
CDIQ0005	I06	CDIV0006	E03	413.2202	V64A	B05	V64A	M10	V64A	A11	V64A	H18	V64A	D24	V64B	K04	V64B	J07	V64B	N14	V64B	D17	RI	1
CDIQ0005	K06	CDIV0006	F03	431.1733	V64A	F03	V64A	A09	V64A	J11	V64A	P15	V64A	K24	V64B	L04	V64B	E07	V64B	G13	V64B	K20	RK	1
CDIQ0005	M06	CDIV0006	G03	413.2202	V64A	D06	V64A	J06	V64A	O12	V64A	G19	V64A	M21	V64B	A03	V64B	K10	V64B	D14	V64B	F21	RM	1
CDIQ0005	O06	CDIV0006	H03	355.1784	V64A	K03	V64A	I10	V64A	G15	V64A	H18	V64A	J22	V64B	E05	V64B	B11	V64B	P12	V64B	L19	RO	1
CDIQ0005	B06	CDIV0008	A03	271.0764	V64A	E02	V64A	E09	V64A	B15	V64A	G19	V64A	F22	V64B	J06	V64B	E09	V64B	P11	V64B	E20	RB	1
CDIQ0005	D06	CDIV0008	B03	312.1144	V64A	I01	V64A	C10	V64A	E13	V64A	N18	V64A	F22	V64B	N05	V64B	J07	V64B	A13	V64B	G20	RD	1
CDIQ0005	F06	CDIV0008	C03	248.0619	V64A	D04	V64A	P08	V64A	H12	V64A	O16	V64A	M24	V64B	K04	V64B	J08	V64B	H16	V64B	C21	RF	1
CDIQ0005	H06	CDIV0008	D03	238.0524	V64A	I04	V64A	D10	V64A	A11	V64A	P18	V64B	G02	V64B	N01	V64B	M10	V64B	N13	V64B	P20	RH	1
CDIQ0005	J06	CDIV0008	E03	377.1142	V64A	C03	V64A	B07	V64A	A12	V64A	K16	V64A	F23	V64B	N04	V64B	G11	V64B	M12	V64B	H21	RJ	1
CDIQ0005	L06	CDIV0008	F03	338.0571	V64A	K02	V64A	A08	V64A	B15	V64A	M19	V64B	H01	V64B	C03	V64B	K08	V64B	G16	V64B	A22	RL	1
CDIQ0005	N06	CDIV0008	G03	370.1681	V64A	B04	V64A	G10	V64A	L12	V64A	G20	V64A	J21	V64B	G03	V64B	O10	V64B	L15	V64B	K17	RN	1
CDIQ0005	P06	CDIV0008	H03	408.0102	V64A	P03	V64A	N06	V64A	M11	V64A	M15	V64A	N24	V64B	J01	V64B	F10	V64B	O16	V64B	O17	RP	1
CDIQ0005	A07	CDIV0005	A04	398.1478	V64A	I02	V64A	I06	V64A	I13	V64A	P16	V64A	F22	V64B	L03	V64B	K07	V64B	C16	V64B	H18	RA	1
CDIQ0005	C07	CDIV0005	B04	322.0987	V64A	E02	V64A	F08	V64A	E16	V64A	B18	V64B	G01	V64B	M06	V64B	E09	V64B	H14	V64B	E20	RC	1
CDIQ0005	E07	CDIV0005	C04	420.0644	V64A	D05	V64A	J07	V64A	A15	V64A	C17	V64A	M23	V64B	L03	V64B	B10	V64B	J12	V64B	I17	RE	1
CDIQ0005	G07	CDIV0005	D04	385.1889	V64A	H06	V64A	C10	V64A	N13	V64A	B19	V64A	D23	V64B	I04	V64B	H11	V64B	P14	V64B	F18	RG	1
CDIQ0005	I07	CDIV0005	E04	336.1474	V64A	D03	V64A	L07	V64A	F16	V64A	C17	V64A	J24	V64B	O03	V64B	N10	V64B	P14	V64B	E19	RI	1
CDIQ0005	K07	CDIV0005	F04	366.1580	V64A	C03	V64A	N05	V64A	O13	V64A	M16	V64A	G22	V64B	F06	V64B	I07	V64B	O15	V64B	F22	RK	1
CDIQ0005	M07	CDIV0005	G04	404.0694	V64A	K02	V64A	O08	V64A	N12	V64A	G19	V64A	E23	V64B	J01	V64B	D09	V64B	H15	V64B	L19	RM	1
CDIQ0005	O07	CDIV0005	H04	233.1052	V64A	F02	V64A	L05	V64A	H14	V64A	A17	V64A	F23	V64B	K06	V64B	H10	V64B	B16	V64B	F20	RO	1
CDIQ0005	B07	CDIV0007	A04	285.0920	V64A	C01	V64A	D10	V64A	B11	V64A	M20	V64A	H21	V64B	I06	V64B	C12	V64B	C15	V64B	E19	RB	1
CDIQ0005	D07	CDIV0007	B04	285.0920	V64A	N04	V64A	N07	V64A	N13	V64A	O17	V64A	B23	V64B	M06	V64B	N09	V64B	P12	V64B	A21	RD	1
CDIQ0005	F07	CDIV0007	C04	295.1208	V64A	D01	V64A	M05	V64A	G11	V64A	I17	V64B	H02	V64B	G04	V64B	B10	V64B	E13	V64B	B20	RF	1
CDIQ0005	H07	CDIV0007	D04	295.1208	V64A	E03	V64A	B09	V64A	E11	V64A	E19	V64A	N21	V64B	L05	V64B	N08	V64B	M14	V64B	C18	RH	1
CDIQ0005	J07	CDIV0007	E04	335.1270	V64A	B06	V64A	J06	V64A	D14	V64A	I19	V64B	E02	V64B	F06	V64B	N09	V64B	P15	V64B	D18	RJ	1
CDIQ0005	L07	CDIV0007	F04	473.1144	V64A	F06	V64A	P06	V64A	F15	V64A	C19	V64A	N21	V64B	M01	V64B	D10	V64B	F14	V64B	A19	RL	1
CDIQ0005	N07	CDIV0007	G04	329.1627	V64A	K01	V64A	D07	V64A	E12	V64A	M15	V64B	A02	V64B	L01	V64B	H11	V64B	J13	V64B	J20	RN	1
CDIQ0005	P07	CDIV0007	H04	171.0895	V64A	O01	V64A	F10	V64A	B11	V64A	I20	V64A	F24	V64B	F05	V64B	J07	V64B	N12	V64B	N19	RP	1
CDIQ0005	A08	CDIV0006	A04	369.1940	V64A	N01	V64A	P10	V64A	B12	V64A	E20	V64A	I23	V64B	M03	V64B	C12	V64B	F15	V64B	N19	RA	1
CDIQ0005	C08	CDIV0006	B04	395.2097	V64A	N04	V64A	G10	V64A	I11	V64A	O15	V64A	K23	V64B	D06	V64B	E11	V64B	B15	V64B	D18	RC	1
CDIQ0005	E08	CDIV0006	C04	441.2515	V64A	O01	V64A	K09	V64A	L12	V64A	K15	V64A	I23	V64B	G03	V64B	N07	V64B	O12	V64B	E20	RE	1
CDIQ0005	G08	CDIV0006	D04	497.0838	V64A	L02	V64A	N08	V64A	C16	V64A	F20	V64A	E23	V64B	G06	V64B	I07	V64B	H14	V64B	E22	RG	1
CDIQ0005	I08	CDIV0006	E04	381.1940	V64A	D04	V64A	P10	V64A	L13	V64A	D17	V64A	O22	V64B	O04	V64B	L08	V64B	N16	V64B	A20	RI	1
CDIQ0005	K08	CDIV0006	F04	375.1237	V64A	O02	V64A	O10	V64A	M13	V64A	L16	V64B	B01	V64B	C03	V64B	N07	V64B	I14	V64B	F17	RK	1
CDIQ0005	M08	CDIV0006	G04	419.2097	V64A	P04	V64A	D07	V64A	A12	V64A	L16	V64A	I24	V64B	G05	V64B	M07	V64B	A16	V64B	F17	RM	1
CDIQ0005	O08	CDIV0006	H04	475.2359	V64A	D06	V64A	L06	V64A	F11	V64A	N16	V64A	H23	V64B	P05	V64B	C08	V64B	P13	V64B	M19	RO	1
CDIQ0005	B08	CDIV0008	A04	250.0776	V64A	M02	V64A	G07	V64A	F16	V64A	P15	V64A	C21	V64B	P04	V64B	A11	V64B	J13	V64B	O19	RB	1
CDIQ0005	D08	CDIV0008	B04	309.1035	V64A	B02	V64A	O10	V64A	B15	V64A	L15	V64B	H01	V64B	I02	V64B	I10	V64B	O15	V64B	A17	RD	1
CDIQ0005	F08	CDIV0008	C04	303.9840	V64A	J01	V64A	M10	V64A	E11	V64A	M18	V64A	G24	V64B	E05	V64B	M08	V64B	O14	V64B	K19	RF	1
CDIQ0005	H08	CDIV0008	D04	328.2151	V64A	D02	V64A	K10	V64A	H14	V64A	B17	V64B	C02	V64B	C05	V64B	O08	V64B	A13	V64B	D20	RH	1
CDIQ0005	J08	CDIV0008	E04	290.1186	V64A	J02	V64A	K05	V64A	E14	V64A	J15	V64A	M24	V64B	L04	V64B	D10	V64B	M16	V64B	F20	RJ	1
