srcplate384	srcwell384	srcplate96	srcwell96	mass	destplate1	destwell1	destplate2	destwell2	destplate3	destwell3	destplate4	destwell4	destplate5	destwell5	destplate6	destwell6	destplate7	destwell7	destplate8	destwell8	destplate9	destwell9	destplate10	destwell10
CDIQ0125	I15	CDIV0125	E08	412.1535	V64A	G04	V64A	K05	V64A	K11	V64A	M16	V64A	C21	V64B	D03	V64B	I07	V64B	H15	V64B	J19	RI	1
CDIQ0125	K15	CDIV0125	F08	308.1273	V64A	J01	V64A	H08	V64A	H13	V64A	F20	V64B	D01	V64B	F03	V64B	F10	V64B	M12	V64B	I20	RK	1
CDIQ0125	M15	CDIV0125	G08	186.0905	V64A	F04	V64A	H07	V64A	A16	V64A	I18	V64B	B01	V64B	H04	V64B	J09	V64B	N16	V64B	K17	RM	1
CDIQ0125	O15	CDIV0125	H08	306.1481	V64A	O03	V64A	E10	V64A	O13	V64A	G17	V64B	E02	V64B	J03	V64B	F11	V64B	H14	V64B	G17	RO	1
CDIQ0125	B15	CDIV0127	A08	461.1409	V64A	A04	V64A	C08	V64A	F14	V64A	I15	V64A	O24	V64B	G05	V64B	M07	V64B	A15	V64B	O18	RB	1
CDIQ0125	D15	CDIV0127	B08	347.0906	V64A	L01	V64A	L07	V64A	L14	V64A	K16	V64A	J24	V64B	P06	V64B	F08	V64B	B13	V64B	M19	RD	1
CDIQ0125	F15	CDIV0127	C08	361.1063	V64A	H02	V64A	P07	V64A	P12	V64A	B17	V64A	L22	V64B	C05	V64B	D11	V64B	L14	V64B	K19	RF	1
CDIQ0125	H15	CDIV0127	D08	346.1066	V64A	N02	V64A	P05	V64A	A13	V64A	H20	V64A	H23	V64B	D06	V64B	C11	V64B	J16	V64B	E17	RH	1
CDIQ0125	J15	CDIV0127	E08	372.1222	V64A	G05	V64A	B09	V64A	K13	V64A	D18	V64A	D22	V64B	C03	V64B	D08	V64B	G13	V64B	M18	RJ	1
CDIQ0125	L15	CDIV0127	F08	404.1485	V64A	D03	V64A	G10	V64A	D16	V64A	I16	V64A	L22	V64B	P02	V64B	E11	V64B	O11	V64B	N19	RL	1
CDIQ0125	N15	CDIV0127	G08	436.1535	V64A	H02	V64A	I10	V64A	E13	V64A	K18	V64A	I24	V64B	I01	V64B	L09	V64B	O12	V64B	K20	RN	1
CDIQ0125	P15	CDIV0127	H08	416.1485	V64A	N03	V64A	P08	V64A	A15	V64A	H17	V64A	D24	V64B	M02	V64B	C12	V64B	H13	V64B	C19	RP	1
CDIQ0125	A16	CDIV0126	A08	376.0518	V64A	G04	V64A	G10	V64A	H12	V64A	J17	V64A	P23	V64B	P02	V64B	H10	V64B	K13	V64B	H19	RA	1
CDIQ0125	C16	CDIV0126	B08	364.0518	V64A	I03	V64A	K06	V64A	P12	V64A	P20	V64A	L23	V64B	P05	V64B	H10	V64B	L13	V64B	H20	RC	1
CDIQ0125	E16	CDIV0126	C08	490.1562	V64A	M02	V64A	P07	V64A	G15	V64A	O20	V64A	K24	V64B	J04	V64B	E10	V64B	F14	V64B	G20	RE	1
CDIQ0125	G16	CDIV0126	D08	422.0492	V64A	E05	V64A	P08	V64A	N11	V64A	L19	V64B	C01	V64B	N03	V64B	N07	V64B	B13	V64B	J17	RG	1
CDIQ0125	I16	CDIV0126	E08	402.1038	V64A	J01	V64A	L10	V64A	K11	V64A	H20	V64B	E01	V64B	E03	V64B	D07	V64B	N14	V64B	L17	RI	1
CDIQ0125	K16	CDIV0126	F08	404.0831	V64A	P04	V64A	I09	V64A	C14	V64A	H20	V64A	G23	V64B	H06	V64B	M08	V64B	M12	V64B	P18	RK	1
CDIQ0125	M16	CDIV0126	G08	432.1144	V64A	A02	V64A	B07	V64A	O13	V64A	N20	V64A	I21	V64B	K05	V64B	F07	V64B	J13	V64B	I17	RM	1
CDIQ0125	O16	CDIV0126	H08	462.1249	V64A	D06	V64A	K07	V64A	H13	V64A	A18	V64A	E21	V64B	G06	V64B	C08	V64B	F13	V64B	J18	RO	1
CDIQ0125	B16	CDIV0128	A08	450.1095	V64A	K01	V64A	B09	V64A	C13	V64A	A20	V64A	D24	V64B	J01	V64B	A11	V64B	C15	V64B	J17	RB	1
CDIQ0125	D16	CDIV0128	B08	446.0782	V64A	I01	V64A	J07	V64A	D15	V64A	P16	V64A	M21	V64B	K02	V64B	D11	V64B	O11	V64B	E21	RD	1
CDIQ0125	F16	CDIV0128	C08	456.0989	V64A	M03	V64A	C10	V64A	B14	V64A	E17	V64A	M21	V64B	M03	V64B	E12	V64B	P11	V64B	G22	RF	1
CDIQ0125	H16	CDIV0128	D08	484.0608	V64A	H04	V64A	P09	V64A	K13	V64A	I16	V64A	H23	V64B	J03	V64B	L08	V64B	K14	V64B	A20	RH	1
CDIQ0125	J16	CDIV0128	E08	436.0938	V64A	E01	V64A	P09	V64A	B15	V64A	L17	V64A	D23	V64B	F05	V64B	E08	V64B	P13	V64B	D17	RJ	1
CDIQ0125	L16	CDIV0128	F08	434.1146	V64A	E05	V64A	P07	V64A	A16	V64A	H19	V64B	D02	V64B	G05	V64B	O08	V64B	C13	V64B	C21	RL	1
CDIQ0125	N16	CDIV0128	G08	439.0836	V64A	M02	V64A	B07	V64A	L13	V64A	D19	V64A	A22	V64B	D06	V64B	L07	V64B	G15	V64B	E19	RN	1
CDIQ0125	P16	CDIV0128	H08	477.0550	V64A	J02	V64A	K09	V64A	A16	V64A	H20	V64A	D23	V64B	P01	V64B	A11	V64B	C15	V64B	N17	RP	1
CDIQ0125	A17	CDIV0125	A09	404.1386	V64A	D02	V64A	K10	V64A	D13	V64A	M19	V64A	K22	V64B	A04	V64B	A09	V64B	J13	V64B	G19	RA	1
CDIQ0125	C17	CDIV0125	B09	404.1386	V64A	N01	V64A	D10	V64A	H16	V64A	N17	V64A	M23	V64B	I02	V64B	H07	V64B	N12	V64B	I18	RC	1
CDIQ0125	E17	CDIV0125	C09	404.1386	V64A	C04	V64A	N09	V64A	K11	V64A	L19	V64B	A02	V64B	I04	V64B	N10	V64B	D13	V64B	D19	RE	1
CDIQ0125	G17	CDIV0125	D09	340.1324	V64A	C04	V64A	K07	V64A	K11	V64A	G19	V64A	N23	V64B	I03	V64B	L10	V64B	I16	V64B	L17	RG	1
CDIQ0125	I17	CDIV0125	E09	358.0841	V64A	J03	V64A	O08	V64A	C14	V64A	P20	V64A	J21	V64B	H05	V64B	B08	V64B	A15	V64B	G22	RI	1
CDIQ0125	K17	CDIV0125	F09	278.0943	V64A	B01	V64A	P06	V64A	B14	V64A	J20	V64B	C01	V64B	J06	V64B	E09	V64B	G16	V64B	I18	RK	1
CDIQ0125	M17	CDIV0125	G09	280.0736	V64A	A04	V64A	M08	V64A	B12	V64A	L17	V64B	E02	V64B	H03	V64B	A11	V64B	J14	V64B	C21	RM	1
CDIQ0125	O17	CDIV0125	H09	342.1368	V64A	O03	V64A	J06	V64A	O14	V64A	E19	V64A	I23	V64B	F03	V64B	A12	V64B	O15	V64B	F22	RO	1
CDIQ0125	B17	CDIV0127	A09	412.1172	V64A	E04	V64A	K09	V64A	D12	V64A	H20	V64A	N23	V64B	H04	V64B	E09	V64B	M12	V64B	H20	RB	1
CDIQ0125	D17	CDIV0127	B09	422.1379	V64A	A04	V64A	P07	V64A	F13	V64A	A17	V64A	G21	V64B	I01	V64B	N10	V64B	K15	V64B	J18	RD	1
CDIQ0125	F17	CDIV0127	C09	450.0998	V64A	I02	V64A	J10	V64A	E16	V64A	O17	V64A	J24	V64B	E03	V64B	A07	V64B	G13	V64B	G20	RF	1
CDIQ0125	H17	CDIV0127	D09	400.1535	V64A	B05	V64A	H09	V64A	L14	V64A	N17	V64B	F01	V64B	G04	V64B	K09	V64B	B13	V64B	B21	RH	1
CDIQ0125	J17	CDIV0127	E09	422.0837	V64A	E05	V64A	A08	V64A	A13	V64A	C17	V64B	G01	V64B	G04	V64B	H08	V64B	D14	V64B	F19	RJ	1
CDIQ0125	L17	CDIV0127	F09	443.0940	V64A	G01	V64A	M07	V64A	B16	V64A	D18	V64B	F02	V64B	B04	V64B	B12	V64B	B15	V64B	C22	RL	1
CDIQ0125	N17	CDIV0127	G09	463.0394	V64A	M04	V64A	A09	V64A	F15	V64A	E17	V64A	M22	V64B	B04	V64B	G07	V64B	E13	V64B	H22	RN	1
CDIQ0125	P17	CDIV0127	H09	403.1532	V64A	B02	V64A	M10	V64A	K14	V64A	M15	V64A	E24	V64B	I01	V64B	A10	V64B	E16	V64B	H17	RP	1
CDIQ0125	A18	CDIV0126	A09	444.1508	V64A	D02	V64A	K05	V64A	N12	V64A	G17	V64A	F23	V64B	O02	V64B	A09	V64B	I13	V64B	J20	RA	1
CDIQ0125	C18	CDIV0126	B09	480.1144	V64A	O02	V64A	D08	V64A	O11	V64A	N20	V64A	H21	V64B	H05	V64B	B11	V64B	N16	V64B	B19	RC	1
CDIQ0125	E18	CDIV0126	C09	416.1195	V64A	H06	V64A	L07	V64A	D14	V64A	K16	V64A	K23	V64B	L04	V64B	N08	V64B	J13	V64B	B19	RE	1
CDIQ0125	G18	CDIV0126	D09	478.1199	V64A	A06	V64A	G08	V64A	C11	V64A	C19	V64A	H23	V64B	K04	V64B	N07	V64B	L12	V64B	J17	RG	1
CDIQ0125	I18	CDIV0126	E09	378.0674	V64A	H04	V64A	F10	V64A	P13	V64A	G19	V64B	C01	V64B	H04	V64B	C07	V64B	F16	V64B	B22	RI	1
CDIQ0125	K18	CDIV0126	F09	494.1300	V64A	E04	V64A	F10	V64A	G14	V64A	B20	V64A	C24	V64B	M04	V64B	P08	V64B	D13	V64B	D18	RK	1
CDIQ0125	M18	CDIV0126	G09	446.0936	V64A	D01	V64A	O09	V64A	G14	V64A	E20	V64A	D24	V64B	J06	V64B	O08	V64B	G14	V64B	H21	RM	1
CDIQ0125	O18	CDIV0126	H09	460.1457	V64A	N01	V64A	K07	V64A	G11	V64A	G18	V64A	D23	V64B	N01	V64B	E08	V64B	K12	V64B	K18	RO	1
CDIQ0125	B18	CDIV0128	A09	434.1146	V64A	O03	V64A	I10	V64A	N11	V64A	J20	V64A	P24	V64B	O06	V64B	I07	V64B	E15	V64B	E17	RB	1
CDIQ0125	D18	CDIV0128	B09	466.1408	V64A	C03	V64A	M07	V64A	E16	V64A	I18	V64A	D23	V64B	K02	V64B	E11	V64B	M13	V64B	N18	RD	1
CDIQ0125	F18	CDIV0128	C09	468.0904	V64A	N01	V64A	H10	V64A	N13	V64A	J17	V64A	J22	V64B	D03	V64B	B12	V64B	J12	V64B	E18	RF	1
CDIQ0125	H18	CDIV0128	D09	436.1547	V64A	C05	V64A	P07	V64A	J11	V64A	I15	V64A	E21	V64B	A04	V64B	G10	V64B	E14	V64B	F20	RH	1
CDIQ0125	J18	CDIV0128	E09	395.0673	V64A	G04	V64A	E09	V64A	N12	V64A	P15	V64A	M21	V64B	P02	V64B	D12	V64B	B13	V64B	C20	RJ	1
CDIQ0125	L18	CDIV0128	F09	409.0829	V64A	O03	V64A	N08	V64A	B13	V64A	B17	V64B	A02	V64B	L03	V64B	B09	V64B	A13	V64B	F21	RL	1
CDIQ0125	N18	CDIV0128	G09	420.0989	V64A	C01	V64A	L07	V64A	J11	V64A	P20	V64A	B23	V64B	J03	V64B	D07	V64B	O15	V64B	D22	RN	1
CDIQ0125	P18	CDIV0128	H09	452.1251	V64A	G02	V64A	D07	V64A	M13	V64A	L20	V64A	J24	V64B	H06	V64B	H12	V64B	M11	V64B	L17	RP	1
CDIQ0125	A19	CDIV0125	A10	455.0845	V64A	G06	V64A	K06	V64A	K14	V64A	F20	V64A	D22	V64B	C03	V64B	B12	V64B	C14	V64B	K18	RA	1
CDIQ0125	C19	CDIV0125	B10	357.0001	V64A	E01	V64A	N10	V64A	K11	V64A	O17	V64A	L21	V64B	H06	V64B	K08	V64B	A16	V64B	D17	RC	1
CDIQ0125	E19	CDIV0125	C10	255.1008	V64A	E04	V64A	L05	V64A	M13	V64A	D17	V64A	N22	V64B	G06	V64B	A12	V64B	H13	V64B	I18	RE	1
CDIQ0125	G19	CDIV0125	D10	333.0768	V64A	F06	V64A	G10	V64A	P13	V64A	B20	V64B	E02	V64B	C03	V64B	P10	V64B	M16	V64B	H20	RG	1
CDIQ0125	I19	CDIV0125	E10	360.0877	V64A	E05	V64A	A09	V64A	J13	V64A	E17	V64A	B23	V64B	D05	V64B	K07	V64B	O14	V64B	O17	RI	1
CDIQ0125	K19	CDIV0125	F10	301.0618	V64A	J01	V64A	K08	V64A	G16	V64A	J20	V64B	D02	V64B	K05	V64B	H08	V64B	M16	V64B	B22	RK	1
CDIQ0125	M19	CDIV0125	G10	329.0627	V64A	A06	V64A	H09	V64A	O11	V64A	B19	V64B	D02	V64B	M03	V64B	K07	V64B	G15	V64B	M17	RM	1
CDIQ0125	O19	CDIV0125	H10	265.1678	V64A	H01	V64A	M10	V64A	I12	V64A	F18	V64A	G23	V64B	I04	V64B	E08	V64B	A16	V64B	B21	RO	1
CDIQ0125	B19	CDIV0127	A10	417.1689	V64A	G04	V64A	A09	V64A	G16	V64A	M16	V64A	A23	V64B	M01	V64B	G08	V64B	N15	V64B	A22	RB	1
CDIQ0125	D19	CDIV0127	B10	402.1692	V64A	H01	V64A	D10	V64A	B13	V64A	O18	V64A	B21	V64B	P05	V64B	O10	V64B	L12	V64B	I18	RD	1
CDIQ0125	F19	CDIV0127	C10	416.1848	V64A	H01	V64A	O05	V64A	O11	V64A	P19	V64A	I22	V64B	D05	V64B	H11	V64B	J12	V64B	B20	RF	1
CDIQ0125	H19	CDIV0127	D10	446.1954	V64A	D05	V64A	M05	V64A	L12	V64A	I20	V64B	A01	V64B	N05	V64B	A08	V64B	P11	V64B	H21	RH	1
CDIQ0125	J19	CDIV0127	E10	472.2111	V64A	P01	V64A	N07	V64A	M11	V64A	L16	V64A	B23	V64B	E06	V64B	E10	V64B	O13	V64B	A20	RJ	1
CDIQ0125	L19	CDIV0127	F10	468.1798	V64A	O01	V64A	I06	V64A	I13	V64A	O19	V64A	M22	V64B	F06	V64B	A10	V64B	C15	V64B	M17	RL	1
CDIQ0125	N19	CDIV0127	G10	470.2318	V64A	D05	V64A	M07	V64A	A13	V64A	O20	V64A	H23	V64B	C04	V64B	D11	V64B	C15	V64B	D22	RN	1
CDIQ0125	P19	CDIV0127	H10	458.1954	V64A	E04	V64A	L06	V64A	H13	V64A	O20	V64A	P21	V64B	B03	V64B	J10	V64B	M13	V64B	I20	RP	1
CDIQ0125	A20	CDIV0126	A10	490.1562	V64A	E02	V64A	J10	V64A	G11	V64A	L16	V64A	D23	V64B	H04	V64B	J07	V64B	K14	V64B	E19	RA	1
CDIQ0125	C20	CDIV0126	B10	488.1406	V64A	C05	V64A	A10	V64A	B13	V64A	P17	V64A	L21	V64B	D03	V64B	I10	V64B	P12	V64B	E19	RC	1
CDIQ0125	E20	CDIV0126	C10	462.0886	V64A	B06	V64A	I10	V64A	F12	V64A	G18	V64A	C23	V64B	C06	V64B	P09	V64B	N14	V64B	C17	RE	1
CDIQ0125	G20	CDIV0126	D10	476.1042	V64A	H05	V64A	M06	V64A	H14	V64A	L16	V64A	K22	V64B	P06	V64B	J07	V64B	J15	V64B	M17	RG	1
CDIQ0125	I20	CDIV0126	E10	458.1300	V64A	A01	V64A	F10	V64A	N11	V64A	C17	V64A	I22	V64B	P02	V64B	D12	V64B	D14	V64B	D22	RI	1
CDIQ0125	K20	CDIV0126	F10	434.0737	V64A	P03	V64A	H10	V64A	E15	V64A	O17	V64A	O21	V64B	O02	V64B	D10	V64B	L14	V64B	M17	RK	1
CDIQ0125	M20	CDIV0126	G10	420.0780	V64A	B05	V64A	J06	V64A	N13	V64A	L20	V64B	H02	V64B	F06	V64B	D11	V64B	G16	V64B	H22	RM	1
CDIQ0125	O20	CDIV0126	H10	474.1249	V64A	K02	V64A	C09	V64A	B15	V64A	M17	V64B	E01	V64B	M03	V64B	K08	V64B	O16	V64B	I17	RO	1
CDIQ0125	B20	CDIV0128	A10	438.1095	V64A	I03	V64A	K08	V64A	O12	V64A	M20	V64B	B01	V64B	I03	V64B	C12	V64B	B15	V64B	C17	RB	1
CDIQ0125	D20	CDIV0128	B10	484.1302	V64A	G06	V64A	P07	V64A	D11	V64A	G19	V64B	C02	V64B	F06	V64B	J09	V64B	J13	V64B	D17	RD	1
CDIQ0125	F20	CDIV0128	C10	464.1251	V64A	N01	V64A	L09	V64A	E12	V64A	M16	V64A	O22	V64B	K01	V64B	H09	V64B	J12	V64B	F19	RF	1
CDIQ0125	H20	CDIV0128	D10	460.0938	V64A	G05	V64A	C10	V64A	I12	V64A	J17	V64A	O24	V64B	G04	V64B	H12	V64B	K11	V64B	K18	RH	1
CDIQ0125	J20	CDIV0128	E10	470.1146	V64A	B03	V64A	E08	V64A	O12	V64A	K15	V64A	O24	V64B	I02	V64B	H11	V64B	L13	V64B	A21	RJ	1
CDIQ0125	L20	CDIV0128	F10	498.0765	V64A	K03	V64A	N07	V64A	F14	V64A	E17	V64A	L23	V64B	H06	V64B	H07	V64B	N11	V64B	J19	RL	1
CDIQ0125	N20	CDIV0128	G10	450.1095	V64A	A05	V64A	A08	V64A	B12	V64A	K17	V64B	D01	V64B	M02	V64B	C09	V64B	L11	V64B	D19	RN	1
CDIQ0125	P20	CDIV0128	H10	448.1302	V64A	E02	V64A	K07	V64A	A13	V64A	C20	V64A	M24	V64B	A04	V64B	F10	V64B	G16	V64B	A20	RP	1
CDIQ0125	A21	CDIV0125	A11	261.1729	V64A	N02	V64A	L07	V64A	M12	V64A	M19	V64A	H22	V64B	E06	V64B	G10	V64B	B14	V64B	H20	RA	1
CDIQ0125	C21	CDIV0125	B11	324.1241	V64A	N03	V64A	K07	V64A	C11	V64A	L18	V64A	E21	V64B	K04	V64B	G09	V64B	L12	V64B	M19	RC	1
CDIQ0125	E21	CDIV0125	C11	309.0728	V64A	F05	V64A	N08	V64A	K14	V64A	P20	V64A	F21	V64B	B03	V64B	J09	V64B	L16	V64B	N20	RE	1
CDIQ0125	G21	CDIV0125	D11	348.2049	V64A	B05	V64A	O08	V64A	A15	V64A	B19	V64A	C21	V64B	B05	V64B	O09	V64B	P16	V64B	A20	RG	1
CDIQ0125	I21	CDIV0125	E11	369.2304	V64A	E06	V64A	H07	V64A	J13	V64A	M19	V64A	I22	V64B	I03	V64B	F07	V64B	P13	V64B	F21	RI	1
CDIQ0125	K21	CDIV0125	F11	402.1440	V64A	I04	V64A	E09	V64A	E14	V64A	N17	V64A	P22	V64B	I03	V64B	D12	V64B	L16	V64B	K20	RK	1
CDIQ0125	M21	CDIV0125	G11	323.0495	V64A	G06	V64A	A08	V64A	N11	V64A	H20	V64B	B02	V64B	M02	V64B	L08	V64B	L14	V64B	E22	RM	1
CDIQ0125	O21	CDIV0125	H11	303.1041	V64A	D01	V64A	E08	V64A	N11	V64A	N15	V64A	F24	V64B	M01	V64B	P08	V64B	D15	V64B	E18	RO	1
CDIQ0125	B21	CDIV0127	A11	456.2161	V64A	M02	V64A	J06	V64A	H14	V64A	B19	V64A	A24	V64B	I06	V64B	H10	V64B	N14	V64B	J20	RB	1
CDIQ0125	D21	CDIV0127	B11	485.1409	V64A	I04	V64A	O09	V64A	K12	V64A	K20	V64A	L21	V64B	D05	V64B	D07	V64B	P12	V64B	E17	RD	1
CDIQ0125	F21	CDIV0127	C11	474.2267	V64A	P03	V64A	K10	V64A	I13	V64A	K20	V64A	G21	V64B	I06	V64B	C10	V64B	O16	V64B	C20	RF	1
CDIQ0125	H21	CDIV0127	D11	425.0011	V64A	H03	V64A	K07	V64A	K14	V64A	J18	V64B	A02	V64B	M02	V64B	C11	V64B	O14	V64B	O17	RH	1
CDIQ0125	J21	CDIV0127	E11	439.0168	V64A	M03	V64A	P07	V64A	A14	V64A	O17	V64A	N23	V64B	E05	V64B	D10	V64B	M14	V64B	F19	RJ	1
CDIQ0125	L21	CDIV0127	F11	424.0171	V64A	O03	V64A	K08	V64A	G13	V64A	K16	V64A	G24	V64B	B05	V64B	J07	V64B	N11	V64B	K19	RL	1
CDIQ0125	N21	CDIV0127	G11	438.0328	V64A	B05	V64A	G08	V64A	I11	V64A	N15	V64A	B23	V64B	J02	V64B	E12	V64B	O12	V64B	C19	RN	1
CDIQ0125	P21	CDIV0127	H11	468.0433	V64A	A03	V64A	F07	V64A	L13	V64A	J19	V64B	F01	V64B	J04	V64B	F09	V64B	K16	V64B	G17	RP	1
CDIQ0125	A22	CDIV0126	A11	472.1093	V64A	D06	V64A	G10	V64A	C16	V64A	I17	V64A	O21	V64B	K03	V64B	G10	V64B	A13	V64B	N19	RA	1
CDIQ0125	C22	CDIV0126	B11	476.1042	V64A	E02	V64A	O10	V64A	O13	V64A	J17	V64B	G02	V64B	N05	V64B	F08	V64B	L14	V64B	G18	RC	1
CDIQ0125	E22	CDIV0126	C11	488.1406	V64A	P02	V64A	M09	V64A	O14	V64A	M19	V64A	L24	V64B	B05	V64B	A12	V64B	G15	V64B	H20	RE	1
CDIQ0125	G22	CDIV0126	D11	492.0991	V64A	F05	V64A	J05	V64A	F12	V64A	G17	V64B	G02	V64B	M02	V64B	L10	V64B	I14	V64B	I20	RG	1
CDIQ0125	I22	CDIV0126	E11	460.1093	V64A	F05	V64A	E10	V64A	K14	V64A	E18	V64A	P23	V64B	C06	V64B	B09	V64B	N16	V64B	O18	RI	1
CDIQ0125	K22	CDIV0126	F11	433.0732	V64A	C06	V64A	D08	V64A	O13	V64A	L20	V64A	D22	V64B	D05	V64B	I08	V64B	G16	V64B	N17	RK	1
CDIQ0125	M22	CDIV0126	G11	462.0886	V64A	K01	V64A	P06	V64A	C12	V64A	P17	V64B	B01	V64B	G05	V64B	M10	V64B	P16	V64B	B17	RM	1
CDIQ0125	O22	CDIV0126	H11	422.0573	V64A	M03	V64A	K09	V64A	A15	V64A	G20	V64B	F01	V64B	C03	V64B	F09	V64B	J15	V64B	F17	RO	1
CDIQ0125	B22	CDIV0128	A11	453.0993	V64A	C05	V64A	L05	V64A	D13	V64A	H19	V64A	A22	V64B	J01	V64B	A09	V64B	J16	V64B	E18	RB	1
CDIQ0125	D22	CDIV0128	B11	491.0707	V64A	O03	V64A	L08	V64A	A11	V64A	L15	V64A	L23	V64B	D03	V64B	D11	V64B	F15	V64B	A20	RD	1
CDIQ0125	F22	CDIV0128	C11	448.1302	V64A	M03	V64A	I08	V64A	G11	V64A	N16	V64A	B21	V64B	B06	V64B	H10	V64B	E15	V64B	M17	RF	1
CDIQ0125	H22	CDIV0128	D11	480.1564	V64A	C04	V64A	H08	V64A	H16	V64A	A18	V64B	F02	V64B	O03	V64B	A12	V64B	L14	V64B	F22	RH	1
CDIQ0125	J22	CDIV0128	E11	403.1532	V64A	E03	V64A	N07	V64A	J14	V64A	A20	V64A	K21	V64B	M06	V64B	M10	V64B	K13	V64B	F20	RJ	1
CDIQ0125	L22	CDIV0128	F11	417.1689	V64A	D06	V64A	E08	V64A	C14	V64A	P15	V64A	N23	V64B	C05	V64B	O08	V64B	I12	V64B	I18	RL	1
CDIQ0125	N22	CDIV0128	G11	402.1692	V64A	P02	V64A	O06	V64A	G11	V64A	C19	V64A	N21	V64B	A05	V64B	G11	V64B	O15	V64B	O20	RN	1
CDIQ0125	P22	CDIV0128	H11	416.1848	V64A	P01	V64A	A07	V64A	M13	V64A	O17	V64A	E24	V64B	M06	V64B	I08	V64B	H15	V64B	H21	RP	1
CDIQ0165	A03	CDIV0165	A02	300.0677	V64A	O03	V64A	H08	V64A	B16	V64A	G18	V64A	I22	V64B	P01	V64B	M10	V64B	I12	V64B	O17	RA	1
CDIQ0165	C03	CDIV0165	B02	264.1838	V64A	H04	V64A	C08	V64A	B16	V64A	M15	V64A	C22	V64B	P02	V64B	F09	V64B	B13	V64B	F20	RC	1
CDIQ0165	E03	CDIV0165	C02	435.1907	V64A	F03	V64A	P09	V64A	G11	V64A	N16	V64A	B23	V64B	K06	V64B	G08	V64B	O15	V64B	D18	RE	1
CDIQ0165	G03	CDIV0165	D02	334.2117	V64A	E02	V64A	D07	V64A	L11	V64A	I20	V64A	L23	V64B	H05	V64B	D12	V64B	G16	V64B	K18	RG	1
CDIQ0165	I03	CDIV0165	E02	398.2066	V64A	F03	V64A	I08	V64A	G16	V64A	G20	V64A	C23	V64B	O04	V64B	B10	V64B	H14	V64B	L18	RI	1
CDIQ0165	K03	CDIV0165	F02	412.2223	V64A	H02	V64A	L10	V64A	D13	V64A	P20	V64B	C02	V64B	N03	V64B	G12	V64B	D13	V64B	M17	RK	1
CDIQ0165	M03	CDIV0165	G02	373.1750	V64A	M03	V64A	O06	V64A	P11	V64A	M20	V64A	F21	V64B	D06	V64B	B07	V64B	D15	V64B	P17	RM	1
CDIQ0165	O03	CDIV0165	H02	401.2063	V64A	D04	V64A	P05	V64A	G16	V64A	M17	V64A	M24	V64B	C03	V64B	F10	V64B	P12	V64B	F20	RO	1
CDIQ0165	B03	CDIV0167	A02	325.1590	V64A	D04	V64A	K09	V64A	N14	V64A	I20	V64A	J23	V64B	F06	V64B	I10	V64B	G16	V64B	C20	RB	1
CDIQ0165	D03	CDIV0167	B02	425.2315	V64A	P02	V64A	N05	V64A	N12	V64A	A17	V64A	D23	V64B	L04	V64B	O07	V64B	J15	V64B	A17	RD	1
CDIQ0165	F03	CDIV0167	C02	365.2103	V64A	E04	V64A	C07	V64A	G14	V64A	N20	V64A	N24	V64B	N06	V64B	B07	V64B	I12	V64B	I19	RF	1
CDIQ0165	H03	CDIV0167	D02	333.1841	V64A	C01	V64A	F10	V64A	J14	V64A	I19	V64B	F01	V64B	P01	V64B	A12	V64B	H15	V64B	C19	RH	1
CDIQ0165	J03	CDIV0167	E02	288.1263	V64A	E05	V64A	F10	V64A	E14	V64A	P16	V64A	P22	V64B	B04	V64B	A08	V64B	J15	V64B	M19	RJ	1
CDIQ0165	L03	CDIV0167	F02	318.1732	V64A	M03	V64A	H07	V64A	C14	V64A	M16	V64A	J23	V64B	M02	V64B	C07	V64B	H13	V64B	H20	RL	1
CDIQ0165	N03	CDIV0167	G02	293.1528	V64A	H05	V64A	H07	V64A	B11	V64A	L17	V64B	D02	V64B	O05	V64B	B08	V64B	D15	V64B	A20	RN	1
CDIQ0165	P03	CDIV0167	H02	279.1372	V64A	L03	V64A	O10	V64A	D15	V64A	F17	V64A	E24	V64B	N01	V64B	N08	V64B	M14	V64B	J20	RP	1
CDIQ0165	A04	CDIV0166	A02	436.1190	V64A	B02	V64A	M08	V64A	G16	V64A	I20	V64A	J24	V64B	L05	V64B	F10	V64B	F13	V64B	I19	RA	1
CDIQ0165	C04	CDIV0166	B02	418.1641	V64A	G03	V64A	M09	V64A	F14	V64A	F19	V64A	N22	V64B	D05	V64B	J08	V64B	M13	V64B	A21	RC	1
CDIQ0165	E04	CDIV0166	C02	492.0433	V64A	K01	V64A	H09	V64A	G12	V64A	M17	V64A	H24	V64B	I03	V64B	B11	V64B	B16	V64B	N20	RE	1
CDIQ0165	G04	CDIV0166	D02	477.1900	V64A	E05	V64A	K05	V64A	G13	V64A	J19	V64A	H23	V64B	M03	V64B	B12	V64B	P14	V64B	C22	RG	1
CDIQ0165	I04	CDIV0166	E02	388.1336	V64A	B02	V64A	L06	V64A	C11	V64A	B18	V64B	A01	V64B	G03	V64B	P10	V64B	D13	V64B	H19	RI	1
CDIQ0165	K04	CDIV0166	F02	487.1743	V64A	P03	V64A	O07	V64A	L11	V64A	C18	V64A	B21	V64B	A06	V64B	M09	V64B	C15	V64B	B17	RK	1
CDIQ0165	M04	CDIV0166	G02	384.1586	V64A	F03	V64A	I07	V64A	D16	V64A	M15	V64A	H23	V64B	F03	V64B	B10	V64B	A16	V64B	N18	RM	1
