SMILES,name,fold
Cc1nn2c(nnc2c2c1cccc2)c1ccco1,"'405D09",9.17
CCc1ccc2c(c1)c(C)c(o2)C(=O)N(C1CCS(=O)(=O)C1)Cc1ccccc1F,"'408E04",4.79
Cc1nn2c(nnc2c2c1cccc2)c1ccncc1,"'405G09",8.10
OCCCN1C(c2ccc(cc2)C(C)C)c2c(C1=O)[nH]nc2c1ccccc1O,"'406H08",3.03
Cc1cc(C)c2c(n1)sc(c2n1cccc1)C(=O)NCc1ccc2c(c1)OCO2,"'447A07",4.22
CCCCOc1ccc(cc1)CNC1=NS(=O)(=O)C(=C1C)c1ccc(cc1)C(C)C,"'447B04",4.55
CCOc1cc(CCNC2=NS(=O)(=O)C(=C2C)c2ccc(cc2)C)ccc1OCC,"'446C08",3.92
COc1ccc(cc1)c1nn2c(c1)c(=O)n(nc2)CC(=O)NCc1ccccn1,"'447C10",4.69
CN(CCNC(=O)CCn1c(=O)c2cccn2c2c1nccc2)C,"'485A03",3.61
COc1ccc(cc1CNCc1sc(cc1C)C(=O)O)Br,"'488B04",3.31
CCOC(=O)c1cnc(nc1NC(=O)CSCc1csc2c1CCCC2)SC,"'488F06",3.16
Fc1ccc(cc1)c1nn2c(n1)c1c(nc2)oc(c1C)C,"'488G08",9.55
CCOC(=O)c1cnc(nc1N)SC,"'488H05",3.69
O=C(N(Cc1ccccc1)C)CCc1onc(n1)CN1CCN(CC1)C(=O)c1noc2c1CCCC2,"'526A07",3.48
O=C(N1CCn2c1nc1c2cccc1)c1[nH]nc(c1)c1ccccc1,"'526C02",5.65
C=Cc1ccc(cc1)Cn1c2cc(C)ccc2c(c1C(=O)O)CNCc1ccco1,"'527C06",3.26
CCOc1ccc(cc1)CCNC(=O)Cn1ccc2c1ccc(c2)S(=O)(=O)N1CCCC1,"'528F03",3.14
COc1ccc(cc1C1=N/C(=CNc2ccccn2)/C(=O)O1)Cl,"'567C11",7.26
C/C(=Cc1ccccc1)/C=C1/N=C(OC1=O)/C=C/c1ccccc1,"'566H10",5.45
COc1ccc(cc1)C1=NN(C(=O)CC1)CCC(=O)N1CCCCC1,"'607C11",4.39
CC(c1ccccc1)NC(=O)C1CCC(CC1)CNS(=O)(=O)c1ccccc1,"'606F03",3.34
Cc1ccc(cc1)S(=O)(=O)NCC1CCC(CC1)C(=O)NCC(c1ccccc1)C,"'605G10",4.00
